"X","id","brand","category","rating","number_of_reviews","love","price","value_price","MarketingFlags","online_only","exclusive","limited_edition","limited_time_offer","has_options","has_instructions","known_ingredients","has_size","unit","pure_num","Phenoxyethanol","Glycerin","Caprylyl.Glycol","Dimethicone","Silica","Butylene.Glycol","Limonene","Tocopherol","Water","Ethylhexylglycerin","Linalool","Fragrance","Citric.Acid","Tocopheryl.Acetate","Mica","Caprylic.Capric.Triglyceride","Peg","Potassium.Sorbate","Retinyl.Palmitate","Sodium.Hyaluronate","Citronellol","Geraniol","Xanthan.Gum","PEG","log_price"
41,2350064,"AERIN","Misc",4.5,32,5900,30,30,"True",1,0,0,0,0,0,0,1,"in mL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216
42,2039121,"AERIN","Scents",4.5,39,4400,130,130,"True",1,0,0,0,1,1,1,1,"in mL",50,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4.86753445045558
43,2317907,"AERIN","Scents",5,2,697,30,30,"True",1,0,0,0,1,1,1,1,"in mL",8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.40119738166216
44,2317907,"AERIN","Scents",5,2,697,30,30,"True",1,0,0,0,1,1,1,1,"in mL",8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.40119738166216
45,1855626,"AERIN","Scents",3.5,33,1500,130,130,"True",1,0,0,0,1,1,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
46,1659077,"AERIN","Scents",4.5,48,3900,130,130,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
47,2350031,"AERIN","Scents",4.5,33,4700,30,30,"True",1,0,0,0,0,0,0,1,"in mL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216
48,1639210,"AERIN","Scents",4,17,1800,130,130,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
49,1738640,"AERIN","Face",4.5,386,17000,30,30,"True",1,0,0,0,0,0,1,1,"in mL",10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.40119738166216
50,1738582,"AERIN","Scents",4.5,52,4700,180,180,"True",1,0,0,0,1,1,1,1,"in mL",101,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5.19295685089021
51,2192177,"AERIN","Scents",4.5,12,1100,130,130,"True",1,0,0,0,1,1,0,1,"in mL",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86753445045558
52,2350023,"AERIN","Misc",4,11,1300,30,30,"True",1,0,0,0,0,1,0,1,"in mL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216
53,1639251,"AERIN","Scents",4.5,23,2900,130,130,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
54,1659085,"AERIN","Scents",4.5,9,1400,130,130,"True",1,0,0,0,1,1,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
